,id,relationship_type,first_name,last_name,address_line_1,address_line_2,address_city,address_state,address_zipcode,address_lat,address_lng,gender,race,marital_status,us_citizen,phone_number,dob
0,0,3,Thomas,Leatherman,5526 Thalman Drive,,Brentwood,TN,37027,36.044282,-86.748932,0,3,Divorced,0,1576353721,1975-09-15
1,1,0,Duane,Hodge,11 Eclipse Court,,Alameda,CA,94501,37.7823187,-122.2678109,1,2,Married,1,6421370732,1959-05-18
2,2,3,Jill,Ellis,88 Florence Street,#1,New Bedford,MA,02740,41.635666,-70.9444673,0,3,Separated,0,1488800914,1954-07-12
3,3,1,Dortha,Bales,3219 Lakeshore Drive,,Nashville,TN,37138,36.242959,-86.625265,1,3,Widowed,1,1375945431,1991-06-13
4,4,2,Jerry,Fife,1309 Clay Avenue,,Panama City,FL,32401,30.1729,-85.69342999999999,1,4,Separated,1,6847660303,1970-01-18
5,5,1,Margery,Coker,7096 Park Mesa Way,#57,San Diego,CA,92111,32.7981052,-117.1679122,0,3,Widowed,0,6150062478,1964-09-03
6,6,1,Jill,Rogers,15267 Hesperian Boulevard,#32,San Leandro,CA,94578,37.6949779,-122.1311145,1,4,Divorced,1,9168901086,1963-01-07
7,7,1,Flora,Jones,173 Spruce Street,#18,Manchester,CT,06040,41.7705332,-72.51594109999999,1,1,Single,0,6149971508,1955-03-04
8,8,2,Ken,Barker,141 Lavigne Road,,Colchester,VT,05446,44.52947899999999,-73.200469,0,4,Married,0,3377246021,1960-10-16
9,9,0,William,Sammons,445 South Potomac Circle,,Aurora,CO,80012,39.705341,-104.830397,1,2,Separated,1,2328808761,1988-08-27
10,10,0,Thomas,Lancaster,34 Holyoke Road,,Manchester,CT,06040,41.753855,-72.498972,1,3,Married,0,5827574216,1986-08-21
11,11,2,Kayla,Hagerty,1828 East Parkshore Drive,#8,Fayetteville,AR,72703,36.1221011,-94.1343385,0,0,Separated,0,1252112117,1982-06-05
12,12,1,Annie,Larson,73 Twin Hills Drive,,Longmeadow,MA,01106,42.0420378,-72.5428872,1,4,Separated,1,7425850211,1958-04-21
13,13,0,James,Pierce,1865 North Higley Road,,Mesa,AZ,85205,33.449118,-111.7185263,0,2,Divorced,0,3224891298,1951-09-25
14,14,1,Daniel,Allen,8125 Glynnwood Drive,,Montgomery,AL,36117,32.341844,-86.14093,1,0,Divorced,0,5635745581,1962-04-09
15,15,3,Steven,Sherman,2522 South College Drive,,Fayetteville,AR,72701,36.036231,-94.15833099999999,0,1,Widowed,0,2732098317,1973-06-18
16,16,3,Darla,Leesman,903 Burton Avenue,,Louisville,KY,40208,38.2068159,-85.77314249999999,0,1,Divorced,1,9853678934,1991-01-14
17,17,1,Yvette,Horrocks,5 Irving Street,,Easthampton,MA,01027,42.26991770000001,-72.65726289999999,1,3,Single,1,2809942905,1992-02-08
18,18,0,Robert,Wolfe,2685 California Street,#APT 305,Mountain View,CA,94040,37.4068693,-122.1129728,0,4,Widowed,1,8693260633,1957-07-10
19,19,0,Ryan,Irving,11501 Maple Way,,Louisville,KY,40229,38.097617,-85.6598254,0,3,Separated,1,4801325029,1976-08-17
20,20,2,Melody,Vick,8700 Seaton Boulevard,,Montgomery,AL,36116,32.3378676,-86.1731595,1,2,Single,1,4449027310,1953-01-04
21,21,3,Rachel,Masten,4770 Balboa Way,,Fremont,CA,94536,37.551937,-122.021022,1,2,Separated,0,5945609659,1949-03-23
22,22,2,William,Washington,3100 Don Juan Court,,Montgomery,AL,36110,32.4174654,-86.2884313,1,1,Separated,0,5013170954,1942-08-21
23,23,1,Nicholas,Bowey,88 Shute Street,#1,Everett,MA,02149,42.4192568,-71.0469179,0,2,Married,0,4002104569,2000-02-19
24,24,1,Edward,Sickafoose,46710 Crawford Street,#APT 32,Fremont,CA,94539,37.4924962,-121.9246934,0,1,Separated,0,4962838258,1967-09-25
25,25,1,Joe,Sherron,6420 Via Baron,,Rancho Palos Verdes,CA,90275,33.741162,-118.390767,1,3,Widowed,1,1998860462,1957-12-14
26,26,2,Jessica,Bell,119 Antioch Pike,,Nashville,TN,37211,36.10072,-86.72331,0,2,Widowed,1,3483779323,1987-12-20
27,27,1,Timothy,Yoshida,11102 Little Rock Court,,Louisville,KY,40241,38.3214271,-85.5421016,1,1,Single,0,4352245905,1975-06-25
28,28,2,Hubert,Reid,22709 Canyon Terrace Drive,#2,Castro Valley,CA,94552,37.688608,-122.042969,1,3,Separated,1,9935982446,1940-05-04
29,29,3,Paul,Bloxham,4540 Phyllis Court,,Livermore,CA,94550,37.6871239,-121.7409406,1,0,Separated,0,4343743832,1979-02-11
30,30,1,Toni,Evers,1125 West 41st Street,,Savannah,GA,31415,32.0573416,-81.1154395,0,2,Divorced,1,9414968142,1957-05-12
31,31,2,John,Park,5038 North Cimarron Drive,,Beverly Hills,FL,34465,28.935938,-82.527367,0,3,Single,0,6740740090,1976-02-22
32,32,3,Nellie,Patterson,164 Tensaw Road,,Montgomery,AL,36117,32.384424,-86.145425,0,1,Separated,1,0018517173,1962-12-24
33,33,3,Joyce,West,940 Ironwood Drive,,Montgomery,AL,36117,32.405795,-86.19257999999999,0,3,Divorced,0,5712439074,1946-05-26
34,34,0,Larry,Monk,1304 Northern Hills Road,,Norman,OK,73071,35.251327,-97.421738,1,3,Single,1,5312411126,1950-10-25
35,35,2,Mona,Norton,905 C Street Northeast,,Washington,DC,20002,38.893361,-76.993438,0,3,Widowed,1,8121769672,1984-01-07
36,36,3,David,Batchelder,5959 North 55th Avenue,,Glendale,AZ,85301,33.522793,-112.176818,1,3,Separated,0,0259341249,1950-04-12
37,37,0,Gloria,Burgher,8757 Lamar Circle,,Arvada,CO,80003,39.8557446,-105.0681477,1,0,Divorced,1,7664795035,1969-10-01
38,38,1,Natalia,Taylor,816 West 19th Avenue,,Anchorage,AK,99503,61.203221,-149.898655,0,3,Married,0,1310997940,1946-08-11
39,39,1,Charles,Searby,600 West North Street,#D2,Fayetteville,AR,72701,36.077974,-94.167103,1,0,Widowed,1,3783844764,1953-07-21
40,40,3,Walter,Oconnell,1729 Frankford Street Southeast,,Washington,DC,20020,38.855963,-76.979539,1,3,Single,0,3865798771,1983-11-28
41,41,3,Nicole,Swift,1026 Orchard Avenue,,Louisville,KY,40213,38.1687304,-85.71964659999999,0,3,Separated,1,5750032988,1973-03-13
42,42,0,Anne,Howard,919 Windsor Avenue,,Annapolis,MD,21403,38.968518,-76.4905689,1,1,Divorced,0,3653438827,1956-02-07
43,43,2,Richard,Russell,19 Euston Street,#1F,Brookline,MA,02446,42.34796009999999,-71.1080246,1,3,Divorced,0,7978820269,1969-06-03
44,44,1,Omer,Sargent,243 New State Road,A-D,Manchester,CT,06042,41.7852763,-72.5551792,1,0,Separated,0,4874398916,1988-09-14
45,45,0,Blanche,Reeder,314 Mesa Street,,Wheatland,CA,95692,39.012762,-121.424206,0,4,Divorced,1,9989411655,1990-06-19
46,46,1,David,Olson,3604 Ridgehaven Drive,,Midwest City,OK,73110,35.4767103,-97.4018785,0,0,Single,0,9595537231,1958-12-23
47,47,2,Claire,Hooten,984 Greendale Avenue,,Needham,MA,02492,42.275811,-71.203287,0,2,Separated,1,1663690442,1940-01-15
48,48,0,Thomas,Ramsey,102 East Ash Road,,Plymouth,VT,05056,43.5021739,-72.71026599999999,0,2,Married,1,2500183166,1994-08-02
49,49,3,Sally,Muniz,1513 Cathy Street,,Savannah,GA,31415,32.067416,-81.125331,0,3,Single,0,2658573191,1977-10-20
50,50,3,Cletus,Casey,10819 Bluegrass Parkway,,Jeffersontown,KY,40299,38.2217085,-85.5551964,1,3,Married,0,2201453257,1962-11-01
51,51,3,Clara,Nelson,689 Stableway Road,,Pike Road,AL,36064,32.354837,-86.076679,1,2,Separated,0,9623224503,1987-12-06
52,52,1,Glenn,Hamilton,2 Thompson Road,,Manchester,CT,06040,41.7741413,-72.5453663,1,1,Widowed,0,2485234396,1943-10-23
53,53,0,Sarah,Hillier,301 East Court,,Savannah,GA,31404,32.0592074,-81.0606937,0,4,Separated,0,4239741078,1971-05-06
